,minimum,maximum
R08258__extr,0.0,0.0
R05800__cytop,0.0,0.0
R00155__cytop,0.0,-2.553548788291597e-15
R00548__chlo,0.0,0.010757920610959355
EX_C00267__dra,0.0,0.0
R11099__cytop,0.0,-2.5535487882916003e-15
RXN_11878__e_r_,0.0,-8.810723140020711e-17
R00513__nucl,0.0,0.0
R04691__cytop,0.0,0.0
R01799__mito,0.0,0.0
R02565__mito,0.0,0.0
R04969__mito,0.0,0.0
R00390__mito,0.0,0.0
PRISM_fluorescent_cool_215W__extr,0.0,1.0
R07046__e_r_,0.0,0.0
R04533__mito,0.0,0.0
R04756__chlo,0.0,0.0
R02251__chlo,0.0,0.0
T_Hydrogen_V1__chlomem,0.5605252486670488,0.9991439131520778
R10124__mito,1.8448093212534561e-06,1.8448093212534479e-06
R02404__mito,0.0,0.0
R02581__chlo,0.0,0.0
TO1100073_PLAS__plas,0.0,0.0
R04559__cytop,0.006690885171409051,0.006690885171403867
R08539__cytop,0.0,0.0
EX_C14818__dra,-7.310828358417521e-07,-7.310828377920758e-07
T_MALOAAth__chlomem,0.0,0.00404823011479121
R05506__mito,0.0,0.0
R07136__cytop,0.0,0.0
R03393__e_r_,0.0,0.0
TO0000021_PLAS__plas,7.310828377920757e-07,7.3108283743016e-07
R10245__cytop,0.0,0.0
TO1000227_PLAS__plas,0.0,0.0
R02691__chlo,0.00028388365928656584,0.00028388365928656454
R03183__cytop,0.0,0.0
R01209__chlo,0.0015119278918424132,0.0018317856515405856
R03346__cytop,0.0,-1.3875833553869212e-15
R04430__chlo,0.0,0.010045529526744866
TR0011422_PLAS__ermem,0.0,0.0
R03657__mito,0.0,0.0
R03877__mito,0.0,0.0
R10115__mito,1.8448093212534565e-06,1.84480932125291e-06
R01279__pero,0.0,-4.2519519875829447e-19
R01569__cytop,0.0,0.0
R04325__cytop,0.0,-1.666761481476906e-14
R11101__mito,0.0,0.0
R03664__chlo,0.0,0.0
R03123__cytop,0.0,-2.7779358024616956e-15
T_H2S_V1__mitmem,-1.6232280805112008e-14,-1.388967901230844e-15
R11104__chlo,0.0,0.0
R08094__pero,0.0,0.0
R04144__mito,0.0,0.0
R03661__mito,0.0,0.0
T_L_Asparagine_V1__ermem,0.0,-1.190543915340713e-15
R08569__e_r_,0.0,0.0
R02313__cytop,5.421010862427522e-20,-1.3890798233884283e-15
R01880__cytop,0.0,3.9472025144873905e-16
R03217__mito,0.0,3.4107240449215985e-16
R04536__chlo,0.010045529526743764,0.01004552952674519
R12024__mito,0.0,0.0
EX_C00041__dra,0.0,0.0
R10039__extr,0.0,0.0
R04203__mito,0.0,4.547632059895476e-16
R08220__extr,0.0,0.0
TO1100709_PLAS__plas,0.0,0.0
R01547__cytop,-8.115476267572773e-15,0.0
R00472__mito,0.08355243110752128,0.14274656095722693
RXN_14485__e_r_,0.00034124530079768245,0.0003412453007976841
R01010__cytop,0.0,4.929685510117746e-16
R04831__mito,0.0,0.0
R11372__mito,0.0,0.0
R01059__chlo,0.0,0.0
R03165__chlo,0.0010067299131910211,0.0010067299131910495
R04726__mito,0.0,0.0
R02106__mito,0.0,0.0
R01858__mito,0.0,0.0
PKS_C185__cytop,7.256642078950104e-32,8.216142516862978e-17
R00662__chlo,0.0,4.929685510117731e-16
PRISM_solar_litho__extr,0.0,1.0
R00751__mito,0.0,2.6889193691551295e-16
TO1000226_PLAS__plas,-1.2814188269615068e-15,0.0
R04770__cytop,0.0,0.0
R05799__cytop,0.0,0.0
EX_C00027__dra,0.21166090774150534,0.7342699331506368
R00014__mito,0.0,0.0557132160473173
R02057__golg,0.0,0.0
R03530__chlo,0.0,0.0
R00087__cytop,0.0,6.445043783699785e-16
R02976__cytop,1.1052568181034052e-16,2.1483479278999284e-16
R09409__e_r_,0.0,0.0
TI3000022_PLAS__plas,0.0,6.445043783699786e-16
R00335__nucl,0.0,0.0
TO1025981_PLAS__plas,0.0,0.0
R07481__e_r_,0.0,6.237139145515882e-17
T_FAD__chlomem,-1.5613964548290484e-06,0.04279336080079007
R04941__mito,0.0,0.0
R04998__e_r_,0.0,0.0
R04463__chlo,0.0,0.0
R05548__cytop,0.0,0.0
R03471__chlo,0.0,0.0
R04170__pero,5.270179558958324e-16,0.0
R05202__cytop,0.0,0.0
R02840__e_r_,0.0,0.0
T_Tetradecanoic_acid__chlomem,0.0001134225237951701,0.0001134225237951708
R04552__mito,0.0,0.0
R07092__e_r_,0.0,0.0
EX_C00077__dra,0.0,0.0
R12391__mito,0.0,0.0
R07052__chlo,0.0,0.0
R09404__e_r_,0.0,0.0
T_Methanol__mitmem,1.8448093212534561e-06,1.8448093212534582e-06
R10993__chlo,0.0,0.0
R03283__cytop,0.0,0.0
R07263__pero,0.0,0.0
R02530__cytop,1.3570712364317322e-14,0.0
R03050__chlo,0.0003343499372052132,0.000654207696903386
R04801__chlo,0.0,0.0
R00236__chlo,0.02480477896699455,0.0248047789669702
R05578__chlo,0.008053839305528169,0.008053839305528178
R04962__chlo,0.0,0.010045529526745194
T_Farnesyl_diphosphate__chlomem,0.0,4.443045588746121e-17
e_Cofactor__cytop,0.0010234725776718202,0.0010234725776718213
TO1102611_PLAS__plas,0.0,0.0
T_L_Tyrosine_V1__vacmem,0.0,0.0
R00209__chlo,0.0,0.045865471096031535
R02063__chlo,0.001005998830353229,0.00100599883035323
R03067__cytop,0.0,1.963815605837795e-06
R03352__pero,0.0,0.0
R05688__chlo,0.005718588531570335,0.005718588531571223
R01185__mito,0.0,0.0
R04591__cytop,0.006690885171402624,0.006690885171403943
R11044__e_r_,0.00036764568406438776,0.00036764568406439003
R00515__chlo,0.0,0.007932961173962718
RXN_21836__e_r_,0.0,2.2124226446595835e-17
R09394__mito,0.0,0.0
R01274__chlo,0.0,3.223504938081998e-16
R10118__cytop,0.0,0.0
R05320__chlo,0.0,0.0
R11891__cytop,0.0,0.0
R03596__cytop,0.0,5.860918069239984e-17
R04804__e_r_,0.0,0.0
R00899__nucl,0.0,0.0
R01775__cytop,0.0,6.447009876163965e-16
R00316__mito,0.0,0.003981061921410373
R06517__e_r_,0.0,1.548581784187499e-16
R00987__cytop,0.0,0.0
T_CO2_V5__nucmem,0.0,0.0
R04928__cytop,0.0,0.0
PEROX__pero,0.0,0.09741899137220006
R00925__mito,0.0,0.0
T_AHCYStn__nucmem,0.0,0.0
EX_C05361__dra,0.0,7.742908920937502e-16
R12479__golg,0.0,0.0
T__5Z_8Z_11Z_14Z_17Z__Icosapentaenoyl_CoA__ermem,0.0027729875679281123,0.0027729875679312252
R07055__e_r_,0.0,0.0
R00897__chlo,0.0,1.1614363381406174e-15
R02484__cytop,-1.856015996426874e-14,7.742908920937529e-16
R08391__chlo,0.0,0.0
R11100__cytop,0.0,7.742908920937507e-16
TR2000009_PLAS__mitmem,0.15191153899816726,0.151911538998186
EX_C00073__dra,0.0,1.0099446418614117e-16
TO1000259_PLAS__plas,0.0,0.0
R03270__chlo,0.0,0.04586547109603285
TZ2900034_PLAS__plas,0.0009527165388709309,0.0009527165388712232
R01354__mito,0.0,0.0
R00965__cytop,0.006490807697258776,0.006490807697258925
R00705__mito,0.0,0.0
R00904__chlo,0.0,0.0
R03827__cytop,0.0,0.0
R04866__cytop,0.0,1.565545701673295e-16
R10057__e_r_,0.0,0.0
EX_C00217__dra,0.0,3.8020395612065775e-16
R10563__cytop,0.0,0.0
