,flux_wt,flux_nd,ratio,ratio_100
R09504__mito,11.971610981877042,8.802938918321583,0.7353178224424196,73.53178224424197
R01108__chlo,4.285079877094278,3.088051102128331,0.7206519343164135,72.06519343164135
T_FADH2__chlomem,-2.1736690758761092,-1.547939267847149,0.7121319822904706,71.21319822904707
R00408__chlo,2.1736690758761092,1.5479392678471486,0.7121319822904704,71.21319822904704
T_SUCFUMthr__chlomem,2.1736690758761092,1.5479392678471486,0.7121319822904704,71.21319822904704
T_FAD__chlomem,2.1735165171761093,1.5477880960456416,0.7121124149802042,71.21124149802041
R01529__chlo,-19.913549314304667,-13.971463061762465,0.7016058685091475,70.16058685091475
R11945__mitmem,52.075948829579744,36.487693267087074,0.7006630524677381,70.06630524677381
T_Hydrogen_Peroxide_V1__mitmem,-26.594736047819282,-18.526311854035146,0.6966157445865784,69.66157445865784
R00362__mito,1.9023343418993757,1.279903009470548,0.6728065520767688,67.28065520767687
T_Acetate_V1__mitmem,-1.9023343418993757,-1.279903009470548,0.6728065520767688,67.28065520767687
R00127__cytop,-17.016917106851626,-11.412435679102538,0.6706523636121774,67.06523636121774
T_L_Phenylalanine__chlomem,-0.1275718787,-0.08526641301006382,0.6683793785821531,66.83793785821531
R10707__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04726__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04957__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04963__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04954__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04952__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04964__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04537__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04953__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04536__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04534__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04568__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04533__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04566__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04960__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04428__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04535__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04965__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R04543__chlo,0.9541432791936098,0.6302867799125078,0.6605787554728595,66.05787554728595
R04968__chlo,0.9541432791936098,0.6302867799125078,0.6605787554728595,66.05787554728595
R04544__chlo,0.9541432791936098,0.6302867799125077,0.6605787554728594,66.05787554728593
R01626__chlo,7.247583471517204,4.660236596370878,0.6430055776087954,64.30055776087954
R00742__chlo,7.247583471517204,4.660236596370878,0.6430055776087954,64.30055776087954
TZ2900012_PLAS__mitmem,184.81023455139405,112.24758012725884,0.6073666883207369,60.73666883207369
R07641__cytop,0.5812231921778634,0.33890372896053206,0.5830870714065074,58.30870714065074
T_L_Aspartate_V1__mitmem,-2.5929207677949515,-1.4965426391990613,0.5771648165214619,57.71648165214619
R10092__mito,-8.736870424752706,-4.859398576346942,0.5561944197523664,55.61944197523664
T_HCO3__mitmem,-8.736690174752706,-4.859219964984748,0.5561854509877122,55.61854509877122
T_L_Cysteine_V1__mitmem,0.6506292485274681,0.3523788464298996,0.5415969958734848,54.15969958734848
R00895__mito,0.6502687357274681,0.3520216110218741,0.5413478946178472,54.13478946178471
R03105__mito,0.6502687357274681,0.3520216110218741,0.5413478946178472,54.13478946178471
T_H2S_V1__mitmem,-0.6502687357274681,-0.3520216110218741,0.5413478946178472,54.13478946178471
R00209__chlo,5.907181728960613,2.974360188618737,0.5035159446740239,50.35159446740239
R00206__cytop,-18.374400193134324,-8.393735795096603,0.4568168596998861,45.681685969988614
TR2000061_PLAS__chlomem,-18.374400193134324,-8.393735795096603,0.4568168596998861,45.681685969988614
R00355__mito,-3.3264212474158157,-1.4965426391990613,0.44989570709412546,44.98957070941255
EX_C00080__dra,-3.2084643458903757,-1.3925064083067593,0.4340102485758891,43.40102485758891
R02016__cytop,2.6159587746967117,1.1311443534528844,0.43240144469938246,43.240144469938244
T_L_Aspartate__chlomem,0.7577290002630213,0.31767131861869413,0.4192413362936152,41.92413362936152
T_Ammonia_V2__mitmem,0.9622753624354164,0.3936811911893495,0.4091149026126829,40.91149026126829
R03321__cytop,-3.7173000862357055,-1.5061369933107984,0.405169601154255,40.5169601154255
R07763__chlo,0.5020877593081691,0.18234085927826962,0.36316531502285304,36.3165315022853
R07764__chlo,0.5020877593081691,0.18234085927826962,0.36316531502285304,36.3165315022853
R07765__chlo,0.5020877593081691,0.18234085927826962,0.36316531502285304,36.3165315022853
R07762__chlo,0.5020877593081691,0.18234085927826962,0.36316531502285304,36.3165315022853
R00004__chlo,14.371857013126547,5.18513192625461,0.360783712328808,36.0783712328808
T_NADth__chlomem,27.473103155269143,9.832832295170153,0.3579075956435699,35.79075956435699
T_NADH__chlomem,-27.47310315526915,-9.832832295170153,0.35790759564356983,35.79075956435698
R04970__chlo,0.9541432791936098,0.32063407976500846,0.33604395352026273,33.60439535202627
