,flux_wt,flux_nd,ratio,ratio_100
PKS_C204__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R00177__cytop,0.19972565623909042,0.3490897681931636,1.7478463947329346,174.78463947329345
R00112__chlo,1.7886463665857895,2.373084471106572,1.326748828297665,132.6748828297665
T_Oxygen_V4__permem,0.0,3.6130639082237983,inf,inf
T_Hydrogen_V1__chlomem,2.360058169130361,3.2303279877143782,1.36874930879551,136.87493087955102
T_MALOAAth__chlomem,20.710411981012,50.497541387848564,2.438268318087849,243.82683180878487
R00472__mito,0.0,0.8198431458998453,inf,inf
PKS_C185__cytop,0.0,0.26847603226566974,inf,inf
EX_C00027__dra,5.3648291271023565,99.58842763569804,18.563205887134675,1856.3205887134675
R00236__chlo,0.8611546152713242,1.7585751032430084,2.042113079413659,204.21130794136587
PEROX__pero,5.180760366854921,11.452950882169887,2.2106698768471738,221.0669876847174
TR2000009_PLAS__mitmem,8.003200107771246,13.768890974905677,1.720423179414925,172.04231794149248
R04866__cytop,0.009183802846363453,0.05949358076799311,6.478098644239845,647.8098644239844
R10092__cytop,-11.496523100944277,-14.465844007220989,1.258279906038098,125.82799060380981
T_Glycine_V1__mitmem,0.11753405206285428,0.23639129037615433,2.0112578969857875,201.12578969857876
R02093__mito,0.0,7.442081942199098,inf,inf
PKS_C82__cytop,0.0,0.26847603226566974,inf,inf
R02094__mito,0.0,2.3456491889583315,inf,inf
R00129__mito,0.0,1.5431784989602033,inf,inf
T_CO2_V1__chlomem,49.646927971474504,99.58842763571194,2.0059333317246173,200.59333317246174
PKS_C163__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R01626__cytop,0.14659989247150407,2.981909321548338,20.340460496094554,2034.0460496094554
T_Hydrogen_Peroxide_V2__chlomem,12.650500191047517,27.02238483211013,2.1360724417231567,213.60724417231566
R00742__cytop,0.6168550045847929,3.132706921588122,5.07851423479454,507.85142347945396
R06286__chlo,0.0,0.09739912921378091,inf,inf
R00357__cytop,3.1178910707082936,99.58842763571194,31.940957967171176,3194.0957967171175
R00465__chlo,0.5400476185369789,0.9683073205388925,1.7930035932055297,179.30035932055296
R01899__mito,0.0,9.37611899409041,inf,inf
R00192__cytop,0.1898771322390904,0.33933077630830316,1.7871071271553807,178.71071271553808
R00274__chlo,4.95643201663588,13.745566848078425,2.773278600804469,277.3278600804469
R06272__chlo,0.0,0.09739912921378091,inf,inf
ATPase__chlo,254.18597523955268,364.49554272914116,1.4339718876528469,143.39718876528468
R01700__mito,0.6651749099475975,1.4782302020955598,2.222318039945335,222.2318039945335
R02570__mito,0.6651749099475975,17.471507788213263,26.2660354846963,2626.60354846963
R01395__cytop,0.21883689582213658,0.33890372896053206,1.5486590032605005,154.86590032605005
DM_photon450__chlo,647.6888399368397,997.1469967865171,1.5395463613110199,153.95463613110198
R08409__chlo,254.18597523955268,364.49554272914116,1.4339718876528469,143.39718876528468
RXN_12753__mito,0.0,1.5431784989602033,inf,inf
R04958__chlo,0.0,0.32063407976500846,inf,inf
PKS_C184__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R04867__cytop,0.009183802846363453,0.05949358076799311,6.478098644239845,647.8098644239844
TR2000102_PLAS__chlomem,19.44068283204842,33.66056449345283,1.7314497018573136,173.14497018573135
R01512__chlo,141.3673339214893,228.62140116199393,1.6172151997219006,161.72151997219007
PKS_C205__cytop,0.0,0.26847603226566974,inf,inf
TR0000532_PLAS__plas,9.058011497458518,12.177336055681588,1.3443718921198418,134.43718921198416
R04780__cytop,0.0,1.7227417218622916,inf,inf
R00945__mito,-0.11753405206285428,-0.5142193787708059,4.375067223036046,437.5067223036046
EX_C00001__dra,-44.85786367714468,-140.2744876111528,3.127088008933056,312.70880089330564
R01512__cytop,-7.283512001577056,-22.831602711377432,3.1346969300570713,313.46969300570714
T_Hydrogen__plas,2.360058169130361,3.2303279877143782,1.36874930879551,136.87493087955102
R12461__cytop,0.009183802846363453,0.05949358076799311,6.478098644239845,647.8098644239844
R01195__chlo,214.0336402481742,316.32141961942773,1.4779051519782114,147.79051519782115
T_Acetate__chlomem,2.450245275998917,3.5171502064860167,1.4354278083658967,143.54278083658966
R00851__chlo,0.0,0.1124898124556032,inf,inf
R01061__cytop,7.283512001577056,22.831602711377432,3.1346969300570713,313.46969300570714
R01334__chlo,0.38305285506073095,0.7814857127411243,2.0401511238370067,204.01511238370068
R00842__chlo,-0.005090820000000001,-0.11753435223306483,23.087508934329794,2308.7508934329794
T_Oxygen_V1__chlomem,-121.39006544333103,-177.3528522904541,1.4610162013072512,146.1016201307251
R02016__mito,0.6502687357274681,3.3517527955206607,5.154411724517234,515.4411724517234
T_Superoxide__mitmem,-9.058011497458518,-35.78328926690243,3.950457479209697,395.0457479209697
R01373__chlo,0.0,0.08526641301006382,inf,inf
R04954__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
TE_2__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
DM_photon298__cytop,44.248281313497515,68.12893452524393,1.539696740819216,153.9696740819216
R00575__cytop,0.0,0.11497935015217932,inf,inf
R01728__cytop,0.0,0.041145720317701945,inf,inf
R00009__pero,5.180760366854921,7.839886973946088,1.513269562534397,151.3269562534397
R01015__cytop,0.0,4.7436262365106225,inf,inf
R04724__chlo,0.0,0.32063407976500846,inf,inf
PKS_C101__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R00014__cytop,0.0,1.7991211250777326,inf,inf
R09542_V1__chlo,408.7835228433934,629.4026578225704,1.539696740819216,153.9696740819216
EX_C00282__dra,2.360058169130361,3.2303279877143782,1.36874930879551,136.87493087955102
R07168__cytop,0.24058565523909042,0.3895783123299709,1.619291524022136,161.9291524022136
R02241__chlo,0.0,0.1124898124556032,inf,inf
R00570__mito,0.0,1.1373674015312014,inf,inf
R12570__chlo,7.989264110211637,13.56933031805414,1.698445580327008,169.8445580327008
R01251__mito,0.0,7.663087004472176,inf,inf
R04966__chlo,0.0,0.32063407976500846,inf,inf
T_Ammonia__plas,-0.35710131298294456,-0.4899499239574367,1.3720193853805212,137.2019385380521
R04429__cytop,0.01628887694127823,0.32063407976500846,19.684234887457347,1968.4234887457346
TR2000109_PLAS__mitmem,2.0627952687536397,22.831602711377432,11.068283439089184,1106.8283439089184
T_CoA_AMP__mitmem,-5.7374799999901925e-05,-1.3962545610295294,24335.676307924667,2433567.6307924665
R00268__mito,0.0,9.37611899409041,inf,inf
R06946__chlo,0.0167432,3.1046420910853154,185.4270444768811,18542.70444768811
R07456__cytop,0.0,0.00017656612584746132,inf,inf
R00243__cytop,5.563493876087703,102.0279306802044,18.338823220194023,1833.8823220194022
R00351__mito,4.903051097590317,20.330493332601854,4.146498359479387,414.6498359479387
R01063__chlo,158.8221691873936,233.1931615983119,1.4682658144730933,146.82658144730934
R04780__chlo,22.134934229873902,38.963128479125196,1.7602549921535122,176.02549921535123
DM_photon437__chlo,419.4372705393168,699.5537482457979,1.6678387863489206,166.78387863489206
R04952__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R00390__chlo,0.0,0.2249796249112064,inf,inf
R04955__chlo,0.0,0.32063407976500846,inf,inf
T_Hydrogen_Peroxide__plas,-5.3648291271023565,-99.58842763569804,18.563205887134675,1856.3205887134675
TO3000349_MITO__mitmem,0.48365213458383344,0.6228820113378911,1.287871936870206,128.78719368702062
PKS_C122__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
EX_C00704__dra,9.058011497458518,12.177336055681588,1.3443718921198418,134.43718921198416
R00658__mito,7.283512001577056,22.831602711377432,3.1346969300570713,313.46969300570714
DM_photon490__chlo,1016.5687533043651,1565.2075962813847,1.539696740819216,153.9696740819216
R04969__chlo,0.0,0.30965270014749935,inf,inf
R00405__mito,-0.7643866010220318,-17.471150565488873,22.85643225840023,2285.6432258400228
R01274__mito,0.11253262851923386,0.88584211801688,7.871869071870774,787.1869071870774
R00209__mito,6.028183537271339,22.5065676063757,3.7335571266569816,373.35571266569815
R10178__mito,0.32660349515960063,0.7506106691469603,2.298232199812072,229.8232199812072
TR2000131_PLAS__mitmem,3.559008203762482,5.588041380953037,1.5701119696901846,157.01119696901847
R00946__cytop,0.24058565523909042,0.3895783123299709,1.619291524022136,161.9291524022136
R00316__chlo,0.8611546152713242,1.7585751032430084,2.042113079413659,204.21130794136587
R00472__chlo,0.5400476185369789,0.9683073205388925,1.7930035932055297,179.30035932055296
PKS_C144__cytop,0.0,0.26847603226566974,inf,inf
T_Oxygen_V2__mitmem,47.67488117756198,66.12929033252347,1.387088728889103,138.7088728889103
R01523__chlo,76.31435867369306,120.54771919862524,1.5796204186693927,157.96204186693927
T_H2O_V5__permem,-10.361881233709843,-15.680131170616566,1.513251389101537,151.3251389101537
R00019__chlo,2.360058169130361,3.2303279877143782,1.36874930879551,136.87493087955102
R01056__chlo,21.98693847287389,38.71656823021511,1.7608894607123764,176.08894607123764
EX_C00014__dra,0.35710131298294456,0.4899499239574367,1.3720193853805212,137.2019385380521
R01070__chlo,-22.134934229873902,-38.963128479125196,1.7602549921535122,176.02549921535123
T_L_Valine__chlomem,-0.11753405206285428,-0.15270628645097037,1.2992514405042963,129.92514405042962
R01324__mito,3.0007167556909415,19.050590323131306,6.348679956880749,634.8679956880749
R04533__cytop,0.01628887694127823,0.32063407976500846,19.684234887457347,1968.4234887457346
R07179__chlo,0.0,3.088051102128331,inf,inf
R00621__mito,0.0,15.993277586117705,inf,inf
R04429__chlo,0.0,0.32063407976500846,inf,inf
R00127__mito,8.057115134128905,11.412435679102538,1.4164419260637007,141.64419260637007
R01830__chlo,22.1732152298739,38.90115156066149,1.7544208702872326,175.44208702872325
R00156__chlo,0.0,0.09990990906659841,inf,inf
R01082__mito,-2.9328740160653544,-18.88469734768587,6.438973254303281,643.8973254303281
R04953__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R10507__mito,0.0,7.663087004472176,inf,inf
R00115__chlo,9.241511893730157,16.833617950206758,1.821522078181538,182.1522078181538
R00217__mito,0.0,22.15454599535383,inf,inf
R04428__cytop,0.01628887694127823,0.32063407976500846,19.684234887457347,1968.4234887457346
R00343__chlo,-21.123286208275022,-50.47349297961657,2.3894716230206474,238.94716230206475
R01641__chlo,22.016194972873894,38.74555876179928,1.7598662625189139,175.98662625189138
R00024__chlo,75.93130581863234,119.76623348588413,1.5772971660984578,157.72971660984578
T_L_Serine_V1__mitmem,0.11753405206285428,0.5142193787708059,4.375067223036046,437.5067223036046
R00755__cytop,0.0,1.7991211250777326,inf,inf
R01829__chlo,-22.016194972873894,-38.74555876179928,1.7598662625189139,175.98662625189138
R02163__mito,2.138000312559888,3.0799738995007675,1.440586271857476,144.0586271857476
R02164__mito,0.4186762917915352,16.893331571720417,40.349386633365526,4034.9386633365525
R01015__chlo,55.072715917519176,77.82622159315754,1.413153869326431,141.3153869326431
PKS_C40__cytop,0.0,0.010689178184806884,inf,inf
T_FADH2_V2__mitmem,-3.0070912909788112,-9.905011614322737,3.2938845734539193,329.38845734539194
R03140__chlo,0.38305285506073095,0.7814857127411243,2.0401511238370067,204.01511238370068
PKS_C81__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
PRISM_solar_exo__extr,4848.260673819089,7464.851158121228,1.5396967408192161,153.96967408192162
R00345__mito,2.643826662316567,22.831602711377432,8.63581680176112,863.581680176112
TI3000040_PLAS__mitmem,0.48365213458383344,0.6228820113378911,1.287871936870206,128.78719368702062
T_CoA_ADP__mitmem,0.0,1.3961977078190793,inf,inf
R09503_V1__chlo,88.35700544349915,136.04299330990136,1.539696740819216,153.9696740819216
R09502__chlo,5.373305335514925,13.56933031805414,2.5253227707659733,252.53227707659732
PKS_C143__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
T_FAD_V1__permem,-5.180760366854921,-11.452950882169885,2.2106698768471733,221.06698768471733
TR2900128_PLAS__mitmem,-0.8850480776462807,-1.1964761155143357,1.3518769722615236,135.18769722615235
R03875__cytop,0.009183802846363453,0.05949358076799311,6.478098644239845,647.8098644239844
R00710__cytop,0.00046404100000000016,1.7995809475194755,3878.064540675231,387806.4540675231
T_FattyAcid_V2__chlomem,0.0,0.2249796249112064,inf,inf
R02095__mito,0.0,5.096432753240766,inf,inf
R01624__cytop,0.01628887694127823,0.3313232579498154,20.340460496094558,2034.0460496094558
T_H2O__plas,44.85786367714468,140.2744876111528,3.127088008933056,312.70880089330564
R12185__cytop,0.21883689582213658,0.33890372896053206,1.5486590032605005,154.86590032605005
R07618__mito,0.8223205784666238,17.47168639957546,21.246806728532576,2124.6806728532574
R03316__mito,0.0,15.993277586117705,inf,inf
R01518__cytop,-2.0627952687536397,-22.831602711377432,11.068283439089184,1106.8283439089184
R01529__cytop,-26.983220834443102,-66.35764168964569,2.459218715837754,245.92187158377538
PKS_C102__cytop,0.0,0.26847603226566974,inf,inf
R04961__chlo,0.0,0.32063407976500846,inf,inf
DM_photon646__chlo,832.6001745497763,1282.1031161096369,1.5398785098777172,153.98785098777174
T_H2O_V1__chlomem,52.66844886414254,96.68551875550543,1.8357388691074659,183.57388691074658
R00209__cytop,0.0,2.547382603712635,inf,inf
PKS_C123__cytop,0.0,0.26847603226566974,inf,inf
R12570__mito,0.0,2.9997311844987866,inf,inf
R00258__mito,0.3266034951596006,0.7506106691469603,2.2982321998120723,229.82321998120722
PKS_C164__cytop,0.0,0.26847603226566974,inf,inf
TR2000107_PLAS__chlomem,-24.275860888443127,-63.67524726069831,2.6229861652820654,262.29861652820654
T_FADH2_V1__permem,5.18076036685492,11.452950882169887,2.210669876847174,221.06698768471742
R00267__mito,2.681815146718617,9.60523885228801,3.581618540726296,358.1618540726296
TR2000108_PLAS__chlomem,34.41441001791451,67.86022213684883,1.9718548742089146,197.18548742089146
R00275__cytop,0.0,11.802976605610422,inf,inf
T_FAD_V2__mitmem,3.0070912909788112,9.905011614322737,3.2938845734539193,329.38845734539194
R11323__mito,0.0,2.3456491889583315,inf,inf
R01214__chlo,-0.11753405206285428,-0.15270628645097037,1.2992514405042963,129.92514405042962
TE_1__cytop,0.0,0.26847603226566974,inf,inf
R04355__cytop,0.01628887694127823,0.32063407976500846,19.684234887457347,1968.4234887457346
SOX__mito,31.12428254654854,39.41822350607173,1.2664781412107742,126.64781412107742
R01845__cytop,0.0,1.341197214473671,inf,inf
R00355__cytop,-2.524212152055458,-100.3666149612112,39.76156080204391,3976.156080204391
R01280__mito,0.11253262851923386,0.88584211801688,7.871869071870774,787.1869071870774
TR6900007_PLAS__mitmem,2.03059414069115,7.965574433095927,3.9227801723020326,392.27801723020326
PKS_C61__cytop,0.0,0.26847603226566974,inf,inf
R04955__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R00185__cytop,0.0,0.34898024994859317,inf,inf
DM_photon438__chlo,931.3670543921442,1487.7703679722815,1.5974049768630407,159.74049768630408
EX_C00205__dra,-4848.260673819089,-7464.851158121228,1.5396967408192161,153.96967408192162
R01845__chlo,22.016194972873894,38.74555876179928,1.7598662625189139,175.98662625189138
