Geneid	tpm
Ng00001	0.0
Ng00002	0.0
Ng00003	0.0
Ng00004	0.0
Ng00005	0.0
Ng00006	0.6042988438497586
Ng00007	0.0
Ng00008	54.378039588239155
Ng00009	29.084842450909996
Ng00010	205.64517904941007
Ng00011	74.15867161703899
Ng00012	52.62971491117047
Ng00013	0.5208952722146638
Ng00014	53.9650957372748
Ng00015	395.8004098761408
Ng00016	26.41860341494167
Ng00017	2.4860437313438495
Ng00018	14.146855670464188
Ng00019	47.93716274794661
Ng00020	7.3592397969009555
Ng00021	44.92744483568738
Ng00022	68.64745423196149
Ng00023	58.199194685150864
Ng00024	8.372909190413482
Ng00025	23.626315843007376
Ng00026	203.67699670622972
Ng00027	34.5150859232588
Ng00028	105.8850130900734
Ng00029	16.37099426960372
Ng00030	25.549890669085666
Ng00031	34.270512035180765
Ng00032	70.37983102507937
Ng00033	80.38751696741694
Ng00034	418.85490013445735
Ng00035	0.4736674342005342
Ng00036	39.85301469974516
Ng00037	37.26928747233777
Ng00038	13.972353752877382
Ng00039	20.912387504305265
Ng00040	0.7974199228965222
Ng00041	7.861240726563329
Ng00042	2.7394015647770114
Ng00043	0.0
Ng00044	92.44824921896392
Ng00045	48.03942225211742
Ng00046	14.400518068177748
Ng00047	15.677296183372437
Ng00048	25.33866113061998
Ng00049	713.1054717985377
Ng00050	0.6884701078496137
Ng00051	148.20049267031865
Ng00052	0.0
Ng00053	0.8001139091225241
Ng00054	124.93683439292361
Ng00055	166.9437193418848
Ng00056	491.1832611944081
Ng00057	20.46829033541287
Ng00058	1.7694473116686622
Ng00059	99.14202774615687
Ng00060	71.4452038147701
Ng00061	121.11581828916795
Ng00062	39.63539480397032
Ng00063	104.27724345700263
Ng00064	2.3458981452653505
Ng00065	0.8870176670421989
Ng00066	26.677434326777245
Ng00067	1.3837148293066037
Ng00068	3.942748222630251
Ng00069	0.0
Ng00070	1.5123481296313352
Ng00071	0.0
Ng00072	91.33413853472446
Ng00073	34.22085629640799
Ng00074	2.8738594326494398
Ng00075	166.22836012436588
Ng00076	11.858626750371029
Ng00077	21.734739860467553
Ng00078	2.881677938684631
Ng00079	11.338922318260305
Ng00080	12.738230073566953
Ng00081	16.39400061712505
Ng00082	26.301348801860602
Ng00083	54.62978361747212
Ng00084	188.2021158909121
Ng00085	11.865181263455845
Ng00086	63.00623598987127
Ng00087	75.70709779020106
Ng00088	86.21454268769426
Ng00089	0.0
Ng00090	38.424837248344076
Ng00091	0.5709827561117551
Ng00092	78.6956340226745
Ng00093	8.237910924778102
Ng00094	3.6796198984504778
Ng00095	112.0446509151488
Ng00096	4.111696477435193
Ng00097	29.03885637188605
Ng00098	317.3571809143579
Ng00099	14.755116501881721
Ng00100	57.64163240009983
Ng00101	45.70861392610484
Ng00102	220.12260784554837
Ng00103	39.14134475958429
Ng00104	192.44257679249912
Ng00105	50.39937028536173
Ng00106	31.883724458108492
Ng00107	14.209239067998482
Ng00108	85.31443865560769
Ng00109	36.867929156845705
Ng00110	18.222372348042747
Ng00111	141.99058502076198
Ng00112	20.65983153591774
Ng00113	16.73955592069951
Ng00114	42.868225888539975
Ng00115	88.55219627649284
Ng00116	6.3749488747490775
Ng00117	4.00489916633298
Ng00118	15.881946797689068
Ng00119	242.19258171601047
Ng00120	0.20346539269782396
Ng00121	65.11996270111511
Ng00122	0.0
Ng00123	6.388943757245454
Ng00124	135.7907605767941
Ng00125	48.84695415193009
Ng00126	97.6334915392938
Ng00127	56.76053555826815
Ng00128	51.23741426712852
Ng00129	1.468736230079176
Ng00130	8.365768116477097
Ng00131	116.7845459636029
Ng00132	21.05351234626396
Ng00133	65.60242811686663
Ng00134	32.55446283165185
Ng00135	69.48790528855639
Ng00136	20.765513662852268
Ng00137	56.74141138860566
Ng00138	48.38908021667285
Ng00139	41.06566287334907
Ng00140	28.995001750569536
Ng00141	1.5610508660092937
Ng00142	15.031137059515519
Ng00143	7.273361222195919
Ng00144	59.1162043073486
Ng00145	72.70409524521911
Ng00146	36.8186871122264
Ng00147	7.2392819946973725
Ng00148	151.49488030505145
Ng00149	26.98105637851144
Ng00150	41.48859887904319
Ng00151	34.23661838619958
Ng00152	0.0
Ng00153	108.26995942989792
Ng00154	313.019473766034
Ng00155	18.952574135195075
Ng00156	74.0795977477313
Ng00157	6.644832096196774
Ng00158	8.103581931686843
Ng00159	676.4345850571658
Ng00160	12.565057382848366
Ng00161	16.5444895884125
Ng00162	14.493730082959054
Ng00163	5.953920262297219
Ng00164	272.3587746653072
Ng00165	26.26425196047834
Ng00166	1829.4546552817735
Ng00167	148.2708977837643
Ng00168	117.44051224877792
Ng00169	280.2532319019827
Ng00170	36.312024652212585
Ng00171	0.0
Ng00172	81.73870864700172
Ng00173	46.950055619917926
Ng00174	1238.914930251325
Ng00175	12.782651112441068
Ng00176	29.045644550032762
Ng00177	78.5870335426309
Ng00178	0.5407162490873677
Ng00179	29.620634057742784
Ng00180	177.98631483297513
Ng00181	294.1898869913242
Ng00182	259.054129951749
Ng00183	20.2587512420919
Ng00184	0.0
Ng00185	19.248830916585497
Ng00186	25.351025368200087
Ng00187	168.18626286830562
Ng00188	17.007644046754976
Ng00189	28.186906889959168
Ng00190	2.81601066064342
Ng00191	41.56673402167953
Ng00192	9.782592581539747
Ng00193	8.499506878902531
Ng00194	20.54905729496408
Ng00195	0.0
Ng00196	11.307165312946779
Ng00197	14.699509221409143
Ng00198	22.83645675743316
Ng00199	68.26263925011995
Ng00200	348.5657529903125
Ng00201	7.5021860696357905
Ng00202	116.35218692841717
