	fluxes	reduced_costs
R04533__mito	0.0	-2.0
R04756__chlo	0.0	-2.0
R02251__chlo	0.0	-2.0
T_Hydrogen_V1__chlomem	0.023698116590044966	-2.0
R10124__mito	1.8099491563375471e-06	-2.0
R02404__mito	0.0	1.999999999987267
R02581__chlo	0.0	-2.0
TO1100073_PLAS__plas	0.0	-2.0
R04559__cytop	0.006564451855060036	-2.0
R08539__cytop	0.0	-2.0
EX_C14818__dra	-7.172680396997158e-07	2.0
T_MALOAAth__chlomem	0.20796003099504537	-2.0
R05506__mito	0.0	2.0
R07136__cytop	0.0	1.9999999999995453
R03393__e_r_	0.0	-2.0
TO0000021_PLAS__plas	7.172680396997158e-07	-2.0
R10245__cytop	0.0	-2.0
TO1000227_PLAS__plas	0.0	-2.0
R02691__chlo	0.0002785192939477473	-1.999999999992724
R03183__cytop	0.0	-2.0
R01209__chlo	0.004793846990687538	-2.0
R03346__cytop	0.0	-2.0
R04430__chlo	0.009692144211127593	-2.0
TR0011422_PLAS__ermem	0.0	-2.0
R03657__mito	0.0	-2.0
R03877__mito	0.0	-2.0
R10115__mito	1.8099491563375471e-06	-2.0
R01279__pero	0.0	-2.0
R01569__cytop	0.0	-2.0
R04325__cytop	0.0	6517.957229378306
R11101__mito	0.0	-2.0
R03664__chlo	0.0	-2.0
R03123__cytop	0.0	-2.0
T_H2S_V1__mitmem	-0.006529561226982599	2.0
R11104__chlo	0.0	-2.0
R08094__pero	0.0	-2.0
R04144__mito	0.0	-2.0
R03661__mito	0.0	-2.0
T_L_Asparagine_V1__ermem	0.0	-2.0
R08569__e_r_	0.0	2.0
R02313__cytop	0.0	-2.0
R01880__cytop	0.0	123.99999999999636
R03217__mito	0.0	-2.0
R04536__chlo	0.009692144211127593	-2.0
R12024__mito	0.0	-2.0
EX_C00041__dra	0.0	505.05856020086503
R10039__extr	0.0	-2.0
R04203__mito	0.0	2.0
R08220__extr	0.0	2.0
TO1100709_PLAS__plas	0.0	0.0
R01547__cytop	0.0	-2.0
R00472__mito	0.0	57.0
RXN_14485__e_r_	0.00033479700973283375	-2.0
R01010__cytop	0.0	2231.7635209038817
R04831__mito	0.0	-2.0
R11372__mito	0.0	-2.0
R01059__chlo	0.0	259.5292801004325
R03165__chlo	0.0009877063911417224	-2.0
R04726__mito	0.0	-2.0
R02106__mito	0.0	-2.0
R01858__mito	0.0	-2.0
PKS_C185__cytop	0.0	-2.0
R00662__chlo	0.0	2499.2928010043142
PRISM_solar_litho__extr	1.0	-16.058791335281743
R00751__mito	0.0	-2.0
TO1000226_PLAS__plas	0.0	-2.0
R04770__cytop	0.0	-2.0
R05799__cytop	0.0	-2.0
EX_C00027__dra	-0.0	-2.0
R00014__mito	0.0	0.0
R02057__golg	0.0	-1.999999999992724
R03530__chlo	0.0	2.0
R00087__cytop	0.0	2166.7635209038817
R02976__cytop	0.0	-2.0
R09409__e_r_	0.0	-2.0
TI3000022_PLAS__plas	0.0	2288.7635209038817
R00335__nucl	0.0	4.0
TO1025981_PLAS__plas	0.0	-2.0
R07481__e_r_	0.0	-2.0
T_FAD__chlomem	0.021824883192728052	-2.0
R04941__mito	0.0	-2.0
R04998__e_r_	0.0	-2.0
R04463__chlo	0.0	-2.0000000000002274
R05548__cytop	0.0	-2.0
R03471__chlo	0.0	-2.0
R04170__pero	0.0	2.0
R05202__cytop	0.0	-2.0
R02840__e_r_	0.0	-2.0
T_Tetradecanoic_acid__chlomem	0.00011127925194635244	-2.0
R04552__mito	0.0	2.0
R07092__e_r_	0.0	-2.0
EX_C00077__dra	0.0	3531.7725348398085
R12391__mito	0.0	-2.0
R07052__chlo	0.0	-2.0
R09404__e_r_	0.0	-2.0
T_Methanol__mitmem	1.8099491563375471e-06	-2.0
R10993__chlo	0.0	-1.9999999999995453
R03283__cytop	0.0	-2.0
R07263__pero	0.0	-2.0
R02530__cytop	0.0	-2.0
R03050__chlo	0.0	-2.0
R04801__chlo	0.0	-2.0
R00236__chlo	0.008647133303518444	-2.0
R05578__chlo	0.00790165112913378	-2.0
R04962__chlo	0.009692144211127593	-2.0
T_Farnesyl_diphosphate__chlomem	0.0	-2.0
e_Cofactor__cytop	0.0010041326803537016	-1.9999999999999432
TO1102611_PLAS__plas	0.0	0.0
T_L_Tyrosine_V1__vacmem	0.0	-2.0
R00209__chlo	0.05931594532819321	-6.0
R02063__chlo	0.000986989123102023	-2.0
R03067__cytop	0.0	-2.0
R03352__pero	0.0	-2.0
R05688__chlo	0.0056105280740470775	-2.0
R01185__mito	0.0	-2.0
R04591__cytop	0.006564451855060036	-2.0
R11044__e_r_	0.0003606985220843079	-2.0
R00515__chlo	0.0	521.058560200865
RXN_21836__e_r_	0.0	-2.0
R09394__mito	0.0	-1.999999999996362
R01274__chlo	0.0	-2.0
R10118__cytop	0.0	-2.0
R05320__chlo	0.0	-2.0
R11891__cytop	0.0	-2.0
R03596__cytop	0.0	22304.614942874312
R04804__e_r_	0.0	-2.0
R00899__nucl	0.0	-2.0
R01775__cytop	0.0	36.0
R00316__mito	0.0	-2.0
R06517__e_r_	0.0	-2.0
R00987__cytop	0.0	-2.0
T_CO2_V5__nucmem	0.0	-2.0
R04928__cytop	0.0	-2.0
PEROX__pero	0.052021603043262685	-2.0
R00925__mito	0.0	-2.000000000003638
T_AHCYStn__nucmem	0.0	-2.0
EX_C05361__dra	-0.0	-2.0
R12479__golg	0.0	-2.0
T__5Z_8Z_11Z_14Z_17Z__Icosapentaenoyl_CoA__ermem	0.0027205882208473655	-2.0
R07055__e_r_	0.0	-2.0
R00897__chlo	0.0	-2.0
R02484__cytop	0.0	2.0
R08391__chlo	0.0	-2.0
R11100__cytop	0.0	-2.0
TR2000009_PLAS__mitmem	0.08036275195594447	-2231.7635209038817
EX_C00073__dra	0.0	10789.288324418972
TO1000259_PLAS__plas	0.0	-2.0
R03270__chlo	0.0	-2.0
TZ2900034_PLAS__plas	0.0009347136725147474	-2.0
R01354__mito	0.0	-2.0
R00965__cytop	0.006368155115142512	-2.0
R00705__mito	0.0	59.0
R00904__chlo	0.0	-2.0
R03827__cytop	0.0	-2.0
R04866__cytop	9.221731339831621e-05	-2.0
R10057__e_r_	0.0	-2.0
EX_C00217__dra	0.0	3275.2432547393723
R10563__cytop	0.0	-2.0
R01498__e_r_	0.0	-2.0
R07004__e_r_	0.0	-2.0
